Provinces Name,Provinces Code,Series Name,Series Code,2013 [YR2013]
"Bali, Prop.",ID.BA,Human Development Index,IDX.HDI,74.11
"Banten, Prop.",ID.BT,Human Development Index,IDX.HDI,71.9
"Bengkulu, Prop.",ID.BE,Human Development Index,IDX.HDI,74.41
"DI Yogyakarta, Prop.",ID.YO,Human Development Index,IDX.HDI,77.37
"DKI Jakarta, Prop.",ID.JK,Human Development Index,IDX.HDI,78.59
"Gorontalo, Prop.",ID.GO,Human Development Index,IDX.HDI,71.77
"Jambi, Prop.",ID.JA,Human Development Index,IDX.HDI,74.35
"Jawa Barat, Prop.",ID.JR,Human Development Index,IDX.HDI,73.58
"Jawa Tengah, Prop.",ID.JT,Human Development Index,IDX.HDI,74.05
"Jawa Timur, Prop.",ID.JI,Human Development Index,IDX.HDI,73.54
"Kalimantan Barat, Prop.",ID.KB,Human Development Index,IDX.HDI,70.93
"Kalimantan Selatan, Prop.",ID.KS,Human Development Index,IDX.HDI,71.74
"Kalimantan Tengah, Prop.",ID.KT,Human Development Index,IDX.HDI,75.68
"Kalimantan Timur, Prop.",ID.KI,Human Development Index,IDX.HDI,77.33
"Kepulauan Bangka-Belitung, Prop.",ID.BB,Human Development Index,IDX.HDI,74.29
"Kepulauan Riau, Prop.",ID.KR,Human Development Index,IDX.HDI,76.56
"Lampung, Prop.",ID.LA,Human Development Index,IDX.HDI,72.87
"Maluku Utara, Prop.",ID.MU,Human Development Index,IDX.HDI,70.63
"Maluku, Prop.",ID.MA,Human Development Index,IDX.HDI,72.7
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Human Development Index,IDX.HDI,73.05
"Nusa Tenggara Barat, Prop.",ID.NB,Human Development Index,IDX.HDI,67.73
"Nusa Tenggara Timur, Prop.",ID.NT,Human Development Index,IDX.HDI,68.77
"Papua Barat, Prop.",ID.IB,Human Development Index,IDX.HDI,70.62
"Papua, Prop.",ID.PA,Human Development Index,IDX.HDI,66.25
"Riau, Prop.",ID.RI,Human Development Index,IDX.HDI,77.25
"Sulawesi Barat, Prop.",ID.SR,Human Development Index,IDX.HDI,71.41
"Sulawesi Selatan, Prop.",ID.SE,Human Development Index,IDX.HDI,73.28
"Sulawesi Tengah, Prop.",ID.ST,Human Development Index,IDX.HDI,72.54
"Sulawesi Tenggara, Prop.",ID.SG,Human Development Index,IDX.HDI,71.73
"Sulawesi Utara, Prop.",ID.SW,Human Development Index,IDX.HDI,75.55
"Sumatera Barat, Prop.",ID.SB,Human Development Index,IDX.HDI,75.01
"Sumatera Selatan, Prop.",ID.SL,Human Development Index,IDX.HDI,74.36
